unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.59965E+12,9/9/2020 12:00,BTC/USDT,10224.69,10264.31,10168.18,10192.51,7755.653,79181825.93,32754
1.59965E+12,9/9/2020 11:00,BTC/USDT,10175.02,10288,10175.02,10224.42,9825.578,100543408.8,37985
1.59965E+12,9/9/2020 10:00,BTC/USDT,10200.99,10209.28,10154,10175.01,4316.543,43922957.86,22671
1.59964E+12,9/9/2020 9:00,BTC/USDT,10157.96,10207.47,10151,10200.99,4906.221,49973934.91,22878
1.59964E+12,9/9/2020 8:00,BTC/USDT,10191.92,10208.06,10143,10157.96,5679.255,57771696.16,26134
1.59963E+12,9/9/2020 7:00,BTC/USDT,10098.23,10200,10098.23,10191.96,8780.878,89193278.94,34436
1.59963E+12,9/9/2020 6:00,BTC/USDT,10092.38,10119.25,10065,10097.98,4876.238,49186169.22,22564
1.59963E+12,9/9/2020 5:00,BTC/USDT,10074.64,10135.98,10074.64,10092.38,6470.765,65406908.41,26512
1.59962E+12,9/9/2020 4:00,BTC/USDT,10028.25,10109.01,10008,10074.64,6276.076,63140434.51,27167
1.59962E+12,9/9/2020 3:00,BTC/USDT,9996.43,10036.42,9981.13,10028.24,5319.844,53238461.25,22577
1.59962E+12,9/9/2020 2:00,BTC/USDT,10122.08,10129.97,9990,9996.43,10174.86,102143655.7,32335
1.59961E+12,9/9/2020 1:00,BTC/USDT,10118.68,10139.97,10083.35,10122.07,4553.76,46021053.24,19825
1.59961E+12,9/9/2020 0:00,BTC/USDT,10130,10154.23,10077.58,10118.68,6177.155,62523439.71,24396
1.59961E+12,9/8/2020 23:00,BTC/USDT,10109.18,10162.78,10077.37,10129.02,9870.029,99842519.23,32973
1.5996E+12,9/8/2020 22:00,BTC/USDT,10031.36,10241.38,9842.01,10109.53,48163.475,482737459.8,146276
1.5996E+12,9/8/2020 21:00,BTC/USDT,10018.4,10056.59,9981,10031.36,7154.128,71623419.97,29606
1.5996E+12,9/8/2020 20:00,BTC/USDT,9994,10068.03,9980.24,10018.39,6412.654,64275940.44,29501
1.59959E+12,9/8/2020 19:00,BTC/USDT,9985.01,10070.85,9957.32,9994,13047.439,130626219.7,45720
1.59959E+12,9/8/2020 18:00,BTC/USDT,10161.51,10170.78,9938,9985.62,18789.838,188443122.7,56709
1.59958E+12,9/8/2020 17:00,BTC/USDT,10150.35,10165,10111.05,10161.51,4515.118,45766514,26304
1.59958E+12,9/8/2020 16:00,BTC/USDT,10102.36,10175,10092,10150.35,7114.094,72127758.1,33619
1.59958E+12,9/8/2020 15:00,BTC/USDT,10100.61,10155.99,10071,10101.92,10818.214,109397377.1,43984
1.59957E+12,9/8/2020 14:00,BTC/USDT,9996.75,10158.81,9985.58,10100.74,25211.601,254385060.2,78688
1.59957E+12,9/8/2020 13:00,BTC/USDT,10010.41,10033.04,9929.77,9998.26,25360.354,253016960,82817
1.59957E+12,9/8/2020 12:00,BTC/USDT,9987.14,10059.02,9923.08,10010.41,21473.231,214537064.5,66827
